"Subject" "Test_Y.SD" "Body.AccXtest_Mean" "Body.AccXtest_Sd" "Body.AccYtest_Mean" "Body.AccYtest_Sd" "Body.AccZtest_Mean" "Body.AccZtest_Sd" "Body.GyroXtest_Mean" "Body.GyroXtest_Sd" "Body.GyroYtest_Mean" "Body.GyroYtest_Sd" "Body.GyroZtest_Mean" "Body.GyroZtest_Sd" "Total.AccXtest_Mean" "Total.AccXtest_Sd" "Total.AccYtest_Mean" "Total.AccYtest_Sd" "Total.AccZtest_Mean" "Total.AccZtest_Sd" "ActivityName2" "Train_X.Mean" "Train_Y.SD" "Body.AccXtrain_Mean" "Body.AccXtrain_Sd" "Body.AccYtrain_Mean" "Body.AccYtrain_Sd" "Body.AccZtrain_Mean" "Body.AccZtrain_Sd" "Body.GyroXtrain_Mean" "Body.GyroXtrain_Sd" "Body.GyroYtrain_Mean" "Body.GyroYtrain_Sd" "Body.GyroZtrain_Mean" "Body.GyroZtrain_Sd" "Total.AccXtrain_Mean" "Total.AccXtrain_Sd" "Total.AccYtrain_Mean" "Total.AccYtrain_Sd" "Total.AccZtrain_Mean" "Total.AccZtrain_Sd"
11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.524889013946856 0.510217280027573 -0.000204113560180736 0.13479879782484 -0.0010433080359641 0.0887919520049146 -0.000209476241732521 0.0632129950340575 -0.0279061962636113 0.228176678515579 0.00727438802329231 0.228985558724182 0.00042104278701471 0.135339316840629 0.852143379285008 0.133903005182502 0.0696845243858703 0.0866472936262084 0.132053753257262 0.0608611416486811
12 0.503778573784079 -0.000817530657948169 0.136590406163967 -0.000628917028084937 0.0833833651943179 0.000547877085660644 0.05710407378456 -0.0362946748786253 0.23866156911967 0.00683411098036138 0.204825031840924 0.00431145648304072 0.161465875550273 0.8293915894559 0.135116523736432 0.0473656844860957 0.0815053743693549 0.0274823892666703 0.054606591978048 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
13 0.507536684934289 -0.000346192522061227 0.123307650459404 -0.000268721229032397 0.0958921924302691 -0.000273405037128741 0.0772571397785358 -0.0294678832882445 0.249783390073369 0.00572404755701383 0.273211889353569 0.00554709961334471 0.174888056278905 0.837482474780438 0.121674235838327 -0.0242458544750048 0.0931366926554521 0.0377378858175688 0.0741556951410265 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.470407319816446 0.506264788627301 -0.00152317751109599 0.127587705283583 0.000463321300919937 0.108548173312646 0.00241865493718909 0.13007307632413 0.0288040785416788 0.237982623548272 -0.00955031856323908 0.462117941982039 -0.0113575485398323 0.309911295859717 0.809491342598442 0.124030696161123 -0.0930416250003473 0.104684750422588 -0.161501059448159 0.124960134147755
15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.517068292901229 0.508486059876069 0.000131405972310928 0.14549957524507 0.000353348320204125 0.0902781379924673 -0.00140591198752949 0.0559507625238018 -0.000467198376262138 0.265675968304635 -0.000695049192915959 0.224945693229922 0.00191776858384814 0.136883437140294 0.823020924748952 0.144240342267537 0.120940032157655 0.0875709797413342 0.0297152186176772 0.0531480463488686
16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.545471854544871 0.515380709535846 6.42302020183828e-05 0.109233825834507 0.000672092767061159 0.0615330329978509 0.000344781195914831 0.0742737631154682 0.0159247848563063 0.176265810385762 0.000855544344510331 0.147364325151027 -0.00589456097031662 0.129231653157067 0.831464067649633 0.107646354976374 -0.0417195846050162 0.0590691889911102 0.0343332894597767 0.0715481770749133
17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.532283183746643 0.515899506665549 -0.000730807172255753 0.128632551357351 -0.000211614850862114 0.075701953626018 -0.000294734309911052 0.064065702923629 0.0134139929692773 0.211553836934312 -0.00377969162007125 0.18200939864493 -0.0041195093824971 0.137409252314252 0.829276728032439 0.127461624870752 0.00412662101227857 0.0735451007202211 -0.0232175694531734 0.0621490624858297
18 0.510829344636885 -0.00025793319961614 0.100638398360368 -7.60544116439685e-05 0.0654330017450476 6.45446674347356e-05 0.0566899976481079 -0.0100293497167686 0.171912400062142 0.00294346401084366 0.172444514503183 0.00199497172716284 0.125366528594068 0.842426968058894 0.0999838535223835 0.00221746448559624 0.064111539945696 0.0829756554994624 0.0546682306498273 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.483419110756989 0.509647921726285 -0.00161820317575693 0.139613068869639 -0.000558604530337924 0.0859466558014619 -0.00329334286404856 0.0661154901540625 -0.011239137722525 0.317114190347697 0.00279806047108717 0.274637522800357 0.000897645668433984 0.173752645463486 0.67024655875615 0.138115919818035 0.113780736370028 0.084393652751752 0.220168237120098 0.0642405700842149
20 0.501909977046085 -0.00188564008835212 0.129804978565542 -0.000237680216107852 0.109469639355486 9.1997552446085e-05 0.068704671435947 0.00353340083431661 0.276363511222731 -0.00207932752627322 0.328368329320105 -0.000311907150386017 0.231083837894387 0.777982847640881 0.127859400232881 -0.019440977219166 0.107424224022763 0.0999458543651095 0.0664527214093297 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.531074045846152 0.512264571270128 -2.25121086036879e-05 0.107881460953601 -0.000277102061166226 0.0759445538976942 -0.00015553789914164 0.0624401461061058 4.14779262115885e-05 0.179193608162339 -0.00186583121177665 0.181863399176667 -9.36195737349167e-05 0.146656969946866 0.792388609649586 0.106106848373564 -0.057223115083745 0.0744159753863586 0.0259491842213335 0.0599985880505189
22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.500546088727287 0.507417374971588 -0.000578690290923082 0.148895197735362 0.000163015488931114 0.0886537370149865 -0.000119826892534998 0.0650535612345122 0.0202851605828421 0.266494762339744 -0.00931283173469564 0.167322771412916 -0.00225372884977169 0.169503412127616 0.766100464595376 0.146833636459277 0.049688776960609 0.0865785055076089 0.226168522613609 0.0623604173150244
23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.475827255097812 0.507161328898879 -0.000841326786460433 0.124038818147955 -0.00128563594753018 0.0816684864842372 -0.000259760884228499 0.101836064356911 0.00576094897234351 0.214403549445436 -0.00372838858849206 0.384510724889387 -0.00515079850499778 0.191183202837956 0.803273288688151 0.122097934932944 0.0313724695964446 0.0792768846643589 0.0451860305607461 0.0993652382508851
24 0.506897852697339 -0.00016666126455424 0.106862790502058 -0.00028538323004952 0.0730565971033986 0.000129868710256562 0.0683971296799959 0.00661823931233557 0.19658645574162 -0.00176291134390069 0.183158886921714 -0.000955444387722802 0.143456586567719 0.827043046305881 0.105521254868698 0.0906292343650015 0.0711405833563088 0.0558515435753306 0.0662628396398581 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.546032397931626 0.511719756490632 -0.000468688677052921 0.0936050168425886 -0.00114554788581414 0.0817808089909122 -0.00043650912905029 0.0664911993586153 0.0254674760360793 0.277629980595574 -0.00431671110834713 0.191659527253457 0.0057659819967428 0.124496066553175 0.810761812611977 0.0922250318334161 0.0640107576632633 0.0829282943528357 0.229132349002904 0.0640021373247278
26 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.53156690682358 0.510550381436544 -0.000935438200832246 0.123874094918509 0.000508476685938576 0.0724627097222071 0.000221243735269958 0.0560813235068571 0.00723485923007002 0.204880967821929 -0.00379349855759042 0.154597436793768 0.00241323830094358 0.145831325214292 0.769797923455636 0.121920783877398 0.127131831447525 0.0701429260139511 0.224759504941007 0.0543649649072149
27 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.536397143012394 0.512075457117072 -6.41318079439365e-05 0.111568386085219 0.000178981003137799 0.0648619211879734 -0.00083928317607148 0.059995529793842 -0.034255092985117 0.179471160547471 0.00863328605843958 0.153546193191135 0.0100088644444584 0.159978981887253 0.779231123448277 0.110349734511183 0.0504363378995312 0.0633321784595468 0.132366216203342 0.0582284150891813
28 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.528449504034801 0.502513360558791 -8.90472153868214e-06 0.115446325761943 -0.00106685374442376 0.0745665205856636 -0.00046354498731614 0.0595268583795495 -0.0379757814443546 0.227868007651324 0.0122770178329499 0.200061436894293 0.00642087078960861 0.16207984715352 0.776837852887885 0.114554473903802 -0.130402935750867 0.0725011794136141 -0.0521692605622006 0.0572980885663059
29 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.515399693128953 0.510407502152705 0.000316490121902421 0.139731179671492 -0.00069959457248557 0.0703387602050647 -0.000121556388399891 0.0737987448643137 0.0180400338053611 0.232724777784213 -0.00629785460491947 0.281754628661572 0.000809865760140825 0.140738823626215 0.819100724769713 0.13836572360479 0.132700181180323 0.0685968332998916 0.198972354443821 0.0706874045890079
30 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.515229704083787 0.500361287803291 -0.000261707473529027 0.126216723598222 -0.000234695171607086 0.0838945962656638 0.000797469181736456 0.088872322996472 -0.00799093870762539 0.288189502977548 0.00116989100628972 0.354921601742386 -0.00127392305658563 0.200818763443746 0.828275386194978 0.125412935476439 0.069026105221577 0.081162149096687 0.176431591681148 0.0841004696726505
